"";"Donyell Malen";"Emre Can";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Sebastien Haller"
"Donyell Malen";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Emre Can";0;0;1;3;1;0;5;8;0;5;0;13;1;8;0
"Gregor Kobel";0;0;0;1;0;0;0;1;0;0;0;8;0;9;0
"Ian Maatsen";1;3;1;0;2;0;4;2;1;1;0;0;1;7;0
"Jadon Sancho";0;3;0;1;0;0;3;7;0;5;0;2;0;2;0
"Jamie Bynoe-Gittens";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Julian Brandt";0;6;0;6;0;0;0;0;3;2;0;1;3;6;0
"Julian Ryerson";0;7;0;0;12;3;0;0;0;3;0;11;3;2;0
"Karim Adeyemi";0;1;0;0;1;0;4;0;0;0;0;0;0;0;0
"Marcel Sabitzer";0;4;0;1;7;1;1;2;0;0;0;2;0;8;1
"Marco Reus";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"Mats Hummels";0;7;9;1;2;0;3;7;0;4;0;0;1;16;0
"Niclas Fullkrug";1;1;0;1;2;0;2;1;1;0;0;0;0;0;1
"Nico Schlotterbeck";0;13;12;5;1;0;9;3;2;5;1;3;2;0;1
"Sebastien Haller";0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
