"";"Birger Meling";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Orri Oskarsson";"Oscar Hojlund";"Peter Ankersen";"Rasmus Falk";"Valdemar Lund";"Viktor Claesson"
"Birger Meling";0;0;1;8;0;1;1;6;5;2;0;1;0;4;0;0
"Denis Vavro";0;0;1;2;2;2;1;5;3;1;0;0;0;2;0;0
"Diogo Goncalves";1;1;0;1;3;0;0;0;3;2;0;0;0;1;0;0
"Elias Achouri";1;0;3;0;1;3;0;1;2;2;0;0;0;2;0;0
"Elias Jelert";0;3;2;0;0;4;0;2;2;5;0;0;0;7;0;0
"Jordan Larsson";0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0
"Kamil Grabara";2;3;0;0;0;0;0;6;0;0;0;0;0;1;0;0
"Kevin Diks";13;2;0;1;0;0;5;0;3;0;0;0;0;6;0;0
"Lukas Lerager";5;1;1;6;3;0;1;3;0;2;0;0;0;1;0;0
"Mohamed Elyounoussi";2;1;2;5;2;1;0;0;0;0;0;0;0;3;0;0
"Orri Oskarsson";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Oscar Hojlund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Peter Ankersen";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Rasmus Falk";2;3;2;4;6;0;1;4;0;2;0;0;1;0;0;0
"Valdemar Lund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viktor Claesson";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
