"";"Alphonso Davies";"Dayot Upamecano";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Mathys Tel";"Serge Gnabry";"Sven Ulreich";"Thomas Muller"
"Alphonso Davies";0;1;0;0;2;6;16;0;0;2;5;0;7;8;0
"Dayot Upamecano";2;0;0;7;1;7;21;3;19;6;5;0;0;12;0
"Eric Choupo-Moting";0;0;0;0;0;0;1;1;0;2;2;0;0;0;1
"Harry Kane";1;3;1;0;1;0;0;2;3;0;4;0;0;2;0
"Jamal Musiala";1;2;0;3;0;2;4;0;0;2;5;0;2;1;0
"Joshua Kimmich";10;13;2;0;5;0;13;1;6;4;0;0;2;2;0
"Kim Min-jae";25;19;0;2;4;16;0;1;1;11;1;1;2;13;0
"Kingsley Coman";0;0;2;2;1;2;0;0;6;4;2;0;0;0;0
"Konrad Laimer";0;12;1;5;3;1;0;11;0;8;9;1;0;3;0
"Leon Goretzka";4;10;1;2;2;9;10;1;4;0;2;0;1;0;0
"Leroy Sane";3;2;2;4;4;1;3;2;2;4;0;0;0;0;0
"Mathys Tel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Serge Gnabry";5;0;0;0;3;2;2;0;0;1;0;0;0;1;0
"Sven Ulreich";0;17;0;0;0;6;18;0;3;0;0;0;1;0;0
"Thomas Muller";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
