"";"Andre Ramalho";"Armel Bella Kotchap";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Noa Lang";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
"Armel Bella Kotchap";0;0;0;2;0;3;0;11;0;1;2;7;0;0;6;0
"Hirving Lozano";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Ismael Saibari";0;1;0;0;2;3;3;1;1;0;0;2;0;2;0;0
"Jerdy Schouten";0;2;0;3;0;6;2;5;4;0;3;3;0;0;1;0
"Joey Veerman";0;1;1;2;6;0;3;3;2;1;4;1;0;7;1;0
"Johan Bakayoko";0;1;0;4;2;2;0;5;3;0;0;0;0;1;2;0
"Jordan Teze";2;5;2;0;6;8;7;0;1;0;1;0;0;0;3;0
"Luuk de Jong";0;1;0;2;3;0;4;1;0;1;0;1;0;1;0;0
"Malik Tillman";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"Noa Lang";0;0;0;0;1;3;3;0;0;0;0;1;0;8;1;0
"Olivier Boscagli";2;9;0;1;3;3;2;1;0;1;4;0;0;8;4;0
"Ricardo Pepi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sergino Dest";0;3;0;3;1;6;1;0;1;0;11;8;0;0;1;1
"Walter Benitez";2;8;0;0;1;1;0;1;0;0;0;7;0;1;0;0
"Yorbe Vertessen";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
