"";"Alex Meret";"Amir Rrahmani";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Juan Jesus";"Khvicha Kvaratskhelia";"Leo Ostigard";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;1;0;0;2;0;5;0;7;0;0;0;0;0;0;0
"Amir Rrahmani";2;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0
"Eljif Elmas";0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0
"Giacomo Raspadori";0;0;0;0;1;0;0;0;0;1;0;0;1;0;3;0
"Giovanni Di Lorenzo";3;1;0;2;0;0;1;0;1;2;12;0;1;9;0;8
"Giovanni Simeone";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Juan Jesus";4;1;1;0;1;0;0;3;5;4;0;0;6;3;1;2
"Khvicha Kvaratskhelia";0;0;0;0;1;0;0;0;0;5;2;0;3;1;4;0
"Leo Ostigard";4;0;0;0;9;0;4;0;0;1;1;0;2;0;0;2
"Mathias Olivera";1;0;1;0;0;0;1;8;1;0;0;0;9;7;6;0
"Matteo Politano";0;0;0;0;5;0;0;1;0;0;0;0;2;2;0;2
"Natan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piotr Zielinski";0;0;3;2;2;0;4;8;3;6;1;0;0;5;2;1
"Stanislav Lobotka";1;2;0;1;8;1;5;3;3;7;2;0;2;0;4;8
"Victor Osimhen";0;0;1;3;0;0;0;4;0;1;0;0;0;2;0;3
"Zambo Anguissa";0;0;0;3;4;0;2;1;2;1;3;0;4;8;0;0
