"";"Abel Ruiz";"Adrian Marin";"Al Musrati";"Alvaro Djalo";"Bruma";"Cristian Borja ";"Jose Fonte";"Matheus";"Pizzi";"Ricardo Horta";"Rodrigo Zalazar";"Sikou Niakate";"Simon Banza";"Victor Gomez";"Vitor Carvalho"
"Abel Ruiz";0;0;2;2;5;1;0;0;0;0;0;1;0;0;1
"Adrian Marin";0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
"Al Musrati";1;0;0;3;6;7;18;2;0;5;4;7;0;6;6
"Alvaro Djalo";0;0;0;0;0;0;0;0;0;3;1;0;0;6;1
"Bruma";1;0;8;1;0;7;1;0;0;8;1;2;0;1;3
"Cristian Borja ";4;0;9;0;8;0;2;2;0;0;0;3;1;0;0
"Jose Fonte";0;1;7;1;0;3;0;7;1;0;2;6;1;16;4
"Matheus";0;1;1;0;0;0;2;0;0;0;1;5;0;5;0
"Pizzi";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ricardo Horta";4;0;2;2;4;3;2;0;0;0;0;0;0;7;2
"Rodrigo Zalazar";1;0;0;2;0;0;2;2;1;1;0;5;1;1;0
"Sikou Niakate";2;0;7;1;4;7;6;2;0;3;0;0;1;3;0
"Simon Banza";0;0;2;0;0;1;0;0;0;0;0;1;0;0;0
"Victor Gomez";3;0;11;9;0;0;6;1;0;3;8;2;1;0;9
"Vitor Carvalho";0;0;12;2;1;0;7;0;0;3;0;1;0;5;0
