"";"Aleksa Terzic";"Alexander Schlager";"Amar Dedic";"Kamil Piatkowski";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Sekou Koita";"Strahinja Pavlovic"
"Aleksa Terzic";0;0;0;0;2;4;0;0;6;3;0;1;0;1;0;2
"Alexander Schlager";2;0;3;0;0;3;0;0;1;0;2;0;0;5;0;2
"Amar Dedic";0;0;0;3;0;5;1;6;2;2;2;0;3;7;1;1
"Kamil Piatkowski";1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
"Karim Konate";2;0;0;0;0;1;0;0;1;4;0;0;1;0;0;0
"Lucas Gourna-Douath";4;4;7;1;2;0;1;3;7;2;1;0;0;5;0;4
"Luka Sucic";0;0;2;0;0;2;0;0;1;0;2;0;0;0;3;0
"Mads Bidstrup";1;0;4;0;0;3;0;0;0;2;0;0;1;6;1;2
"Maurits Kjaergaard";10;1;4;0;4;4;1;1;0;1;0;1;1;1;0;2
"Oscar Gloukh";0;0;0;0;2;0;0;1;6;0;0;0;2;3;0;0
"Oumar Solet";1;2;0;0;0;1;3;0;1;0;0;0;0;0;0;2
"Petar Ratkov";1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Roko Simic";1;0;0;0;0;1;0;1;1;2;0;0;0;0;0;1
"Samson Baidoo";0;5;7;0;0;8;0;1;1;0;0;0;1;0;0;4
"Sekou Koita";0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0
"Strahinja Pavlovic";2;3;2;0;0;5;0;3;3;1;0;0;1;3;0;0
