"";"Aihen Munoz";"Alex Remiro";"Alvaro Odriozola";"Ander Barrene";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Kieran Tierney";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Mohamed Cho";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1
"Alex Remiro";0;0;0;0;0;0;3;0;1;0;3;0;0;3;0;0
"Alvaro Odriozola";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ander Barrene";0;0;0;0;2;1;1;0;0;4;6;0;0;0;2;0
"Brais Mendez";0;0;1;1;0;5;3;0;0;0;2;0;0;2;3;0
"Hamari Traore";0;2;3;0;7;0;8;1;1;3;2;1;0;1;11;1
"Igor Zubeldia";0;7;0;0;0;7;0;0;3;0;2;0;0;9;1;0
"Jon Pacheco";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Kieran Tierney";0;4;0;4;0;0;0;0;0;1;3;3;0;4;0;0
"Martin Zubimendi";0;1;0;2;4;3;2;0;1;0;10;0;0;2;3;0
"Mikel Merino";2;1;0;7;1;5;3;0;4;4;0;5;3;1;0;0
"Mikel Oyarzabal";0;1;0;0;4;0;0;0;0;1;2;0;0;1;1;0
"Mohamed Cho";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Robin Le Normand";0;4;0;1;1;2;5;1;7;3;2;0;0;0;1;1
"Takefusa Kubo";0;0;0;3;2;4;1;0;0;3;2;1;0;1;0;0
"Umar Sadiq";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
