"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Jose Gimenez";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez";"Stefan Savic"
"Alvaro Morata";0;0;2;0;0;0;3;1;1;1;0;3;5;2
"Angel Correa";0;0;1;0;0;0;3;0;1;0;0;0;0;1
"Antoine Griezmann";5;1;0;0;0;3;8;4;6;1;4;5;11;1
"Axel Witsel";2;0;1;0;1;0;3;13;1;1;0;1;4;13
"Jan Oblak";0;0;0;1;0;2;1;1;2;1;0;0;1;5
"Jose Gimenez";0;0;0;0;1;0;0;4;2;0;0;1;0;5
"Marcos Llorente";0;2;3;2;0;0;0;0;16;0;0;1;6;7
"Mario Hermoso";3;0;7;16;4;4;1;0;0;9;1;17;7;8
"Nahuel Molina";2;2;7;4;3;2;10;1;0;5;0;1;8;12
"Pablo Barrios ";1;0;5;2;0;0;1;10;1;0;0;3;2;2
"Rodrigo Riquelme";0;0;3;0;1;0;0;3;0;0;0;0;0;0
"Samuel Lino";2;1;5;2;0;1;0;22;0;1;0;0;6;0
"Saul Niguez";5;2;10;3;0;1;6;9;3;4;0;6;0;1
"Stefan Savic";3;1;4;7;2;2;4;5;26;5;0;0;0;0
