"";"Alistair Johnston";"Callum McGregor";"Daizen Maeda";"Greg Taylor";"Gustaf Lagerbielke";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Odin Holm";"Paulo Bernardo";"Reo Hatate";"Tomoki Iwata"
"Alistair Johnston";0;5;3;1;11;0;4;1;2;1;0;4;0;0;2;0
"Callum McGregor";5;0;1;3;3;0;0;2;1;1;4;3;0;0;3;2
"Daizen Maeda";2;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0
"Greg Taylor";1;3;1;0;0;0;0;1;0;12;7;1;0;0;1;0
"Gustaf Lagerbielke";11;2;0;0;0;0;0;6;1;24;1;4;0;0;0;0
"Hyeon-gyu Oh";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
"Hyun-jun Yang";0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1
"Joe Hart";3;2;0;2;9;0;0;0;0;16;0;1;0;0;0;0
"Kyogo Furuhashi";0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0
"Liam Scales";0;6;1;8;17;1;0;12;1;0;3;4;1;0;11;2
"Luis Palma";1;4;0;4;0;0;0;0;0;1;0;1;0;0;1;0
"Matt O'Riley";6;1;3;3;2;0;0;2;0;1;3;0;0;0;1;0
"Odin Holm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Paulo Bernardo";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Reo Hatate";0;3;1;1;2;0;0;2;0;2;3;2;0;0;0;0
"Tomoki Iwata";1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0
