"";"Alireza Jahanbakhsh";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Leo Sauer";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Timon Wellenreuther";"Yankuba Minteh"
"Alireza Jahanbakhsh";0;3;1;2;0;0;0;7;4;0;0;0;1;0;0
"Calvin Stengs";5;0;0;1;4;0;4;5;2;1;0;2;2;0;4
"David Hancko";1;1;0;31;1;1;5;4;7;0;25;2;2;8;1
"Gernot Trauner";4;2;20;0;1;0;1;25;16;0;6;6;0;10;1
"Igor Paixao";0;3;0;0;0;0;2;3;0;0;1;2;0;0;1
"Leo Sauer";0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
"Luka Ivanusec";0;3;3;2;0;0;0;0;5;0;8;4;1;0;0
"Lutsharel Geertruida";7;7;4;19;4;0;3;0;13;0;0;3;0;6;1
"Mats Wieffer";3;5;16;10;1;0;5;6;0;0;5;2;2;3;5
"Ondrej Lingr";0;1;0;0;0;0;0;1;1;0;0;0;1;0;0
"Quilindschy Hartman";0;2;16;8;1;1;5;1;5;2;0;7;4;3;0
"Quinten Timber";0;5;5;2;2;0;1;3;3;0;0;0;0;1;0
"Ramiz Zerrouki";2;0;4;1;0;2;4;0;2;0;1;0;0;0;0
"Timon Wellenreuther";0;0;17;9;0;0;0;1;5;0;2;0;0;0;0
"Yankuba Minteh";0;4;1;0;0;0;0;2;0;0;0;0;0;0;0
