"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Elliot Anderson";"Fabian Schar";"Harvey Barnes";"Jacob Murphy";"Kieran Trippier";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff";"Sven Botman"
"Alexander Isak";0;2;0;0;1;0;0;0;2;2;1;0;2;2;1
"Anthony Gordon";1;0;3;0;1;0;0;0;1;2;0;0;1;0;0
"Bruno Guimaraes";0;0;0;1;2;1;3;0;0;4;2;1;1;5;9
"Callum Wilson";0;0;1;0;0;1;0;0;0;1;1;0;0;0;1
"Dan Burn";3;8;2;0;0;0;0;0;0;0;0;1;5;1;1
"Elliot Anderson";2;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"Fabian Schar";2;0;3;0;0;0;0;0;4;12;0;1;0;5;12
"Harvey Barnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jacob Murphy";2;1;1;0;0;0;0;0;0;7;0;0;1;1;0
"Kieran Trippier";5;2;5;4;1;1;8;0;7;0;2;2;1;16;2
"Miguel Almiron";1;0;1;0;0;1;1;0;0;1;0;0;0;2;0
"Nick Pope";1;0;0;0;1;0;11;0;0;1;0;0;0;0;3
"Sandro Tonali";1;0;1;0;2;0;1;0;1;0;0;0;0;0;0
"Sean Longstaff";1;1;6;0;1;0;5;0;5;10;3;0;1;0;2
"Sven Botman";4;1;3;0;6;1;9;0;1;4;0;3;0;3;0
