"";"Donyell Malen";"Emre Can";"Felix Nmecha";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Ramy Bensebaini"
"Donyell Malen";0;0;0;0;0;2;1;0;0;0;1;0;0;2;0;0
"Emre Can";2;0;3;0;0;4;2;0;0;0;2;2;0;3;1;0
"Felix Nmecha";0;2;0;0;2;1;1;4;0;1;3;4;0;1;1;4
"Gregor Kobel";0;1;1;0;0;0;0;0;0;2;2;1;0;3;4;0
"Jamie Bynoe-Gittens";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"Julian Brandt";2;4;0;0;0;0;1;1;0;0;1;4;0;3;1;0
"Julian Ryerson";2;1;4;0;2;2;0;1;0;1;0;3;1;6;1;0
"Karim Adeyemi";0;1;4;0;0;1;1;0;0;1;0;0;1;1;0;2
"Marcel Sabitzer";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Marco Reus";0;0;2;1;1;0;2;1;0;0;0;0;3;2;2;0
"Marius Wolf";3;3;3;0;0;4;0;4;0;1;0;2;1;1;2;0
"Mats Hummels";0;4;1;1;0;2;0;1;0;4;3;0;1;6;6;2
"Niclas Fullkrug";0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0
"Nico Schlotterbeck";1;4;4;6;0;4;5;2;0;1;0;5;1;0;1;1
"Niklas Sule";0;0;2;3;0;3;4;2;0;2;4;1;2;1;0;0
"Ramy Bensebaini";0;0;1;0;0;0;0;1;0;1;0;0;0;5;0;0
