"";"Achraf Hakimi";"Danilo Pereira";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;1;2;1;0;0;0;6;16;1;31;4;5;18
"Danilo Pereira";2;0;1;0;1;0;0;0;0;0;0;0;0;1
"Gianluigi Donnarumma";3;1;0;0;0;0;4;3;3;7;0;0;2;0
"Goncalo Ramos";0;1;0;0;0;1;0;1;0;0;0;0;0;1
"Kang-In Lee";0;0;0;0;0;6;1;2;2;0;0;0;0;1
"Kylian Mbappe";2;0;0;2;1;0;6;4;2;0;5;3;9;2
"Lucas Hernandez";0;0;1;0;1;14;0;4;0;36;0;0;10;1
"Manuel Ugarte";9;1;2;3;2;2;7;0;9;6;3;4;3;6
"Marquinhos";27;0;4;0;3;1;8;10;0;26;4;0;0;3
"Milan Skriniar";7;1;3;0;2;3;25;7;31;0;1;1;7;2
"Ousmane Dembele";15;0;0;0;1;5;1;1;5;3;0;2;2;12
"Randal Kolo Muani";4;0;0;0;0;2;0;0;0;0;2;0;2;3
"Vitinha Ferreira";5;0;0;0;0;12;8;10;4;2;5;1;0;2
"Warren Zaire-Emery";6;0;1;1;1;3;1;6;5;3;11;3;3;0
