"";"Anthony Racioppi";"Aurele Amenda";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Jean-Pierre Nsame";"Lewin Blum";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Noah Persson";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;5;1;0;0;0;0;0;5;0;3;0;1;3;0;0
"Aurele Amenda";6;0;0;2;1;0;0;1;9;1;13;0;7;1;0;0
"Cedric Itten";0;0;0;0;0;0;0;0;0;1;0;0;4;3;0;1
"Cheikh Niasse";0;2;2;0;2;1;0;1;2;1;1;0;5;4;0;7
"Darian Males";0;2;0;0;0;1;0;2;0;0;1;1;0;0;0;0
"Filip Ugrinic";0;1;0;2;0;0;0;1;5;2;3;2;1;3;1;7
"Jean-Pierre Nsame";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lewin Blum";0;1;0;0;2;1;1;0;1;0;0;0;0;0;3;0
"Loris Benito";6;0;0;2;1;10;0;1;0;5;17;5;0;2;2;12
"Meschack Elia";0;0;0;3;0;2;0;0;2;0;0;0;0;1;1;1
"Mohamed Ali Camara";10;14;0;3;0;0;0;1;18;1;0;0;3;4;0;2
"Noah Persson";0;0;0;1;2;0;0;0;1;1;0;0;0;0;1;0
"Saidy Janko";0;8;0;7;0;3;0;0;0;1;4;0;0;2;0;0
"Sandro Lauper";0;2;1;2;0;5;0;0;5;4;5;0;3;0;1;13
"Silvere Ganvoula";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1
"Ulisses Garcia";0;1;0;8;0;7;0;0;12;3;2;0;0;10;0;0
