"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Christopher Lenz";"David Raum";"Emil Forsberg";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Mohamed Simakan";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;2;0;0;0;1;2;0;2;3;9;0;4;9;2
"Benjamin Sesko";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Castello Lukeba";0;0;0;1;0;6;1;11;5;1;5;0;2;4;1
"Christoph Baumgartner";0;0;1;0;0;2;0;0;1;1;0;1;1;0;0
"Christopher Lenz";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"David Raum";1;2;8;0;0;0;4;2;10;1;1;0;2;1;2
"Emil Forsberg";0;0;0;0;0;5;0;0;2;0;0;0;0;4;1
"Janis Blaswich";4;0;8;0;1;0;0;0;1;0;12;0;4;0;0
"Kevin Kampl";1;0;9;2;0;4;4;4;0;0;1;0;6;2;1
"Lois Openda";2;1;0;0;0;1;0;0;1;0;0;0;0;2;0
"Mohamed Simakan";12;0;6;0;0;2;0;4;0;1;0;0;5;2;0
"Timo Werner";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"Xaver Schlager";1;0;5;1;0;5;2;2;4;2;2;1;0;4;1
"Xavi Simons";7;1;0;0;0;1;2;0;4;4;0;0;4;0;0
"Yussuf Poulsen";0;0;0;0;0;1;1;0;1;0;0;0;3;2;0
