"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jeremy Doku";"Julian Alvarez";"Kalvin Phillips";"Kyle Walker";"Manuel Akanji";"Matheus Nunes";"Nathan Ake";"Oscar Bobb";"Phil Foden";"Rico Lewis";"Rodri";"Ruben Dias";"Sergio Gomez"
"Bernardo Silva";0;0;0;0;2;0;8;0;6;1;0;2;0;5;2;0
"Ederson";1;0;0;1;0;0;3;4;1;5;0;2;0;5;6;1
"Erling Haaland";0;0;0;0;4;0;0;0;1;0;1;0;0;1;0;0
"Jeremy Doku";0;1;0;0;1;0;2;0;9;3;0;2;0;6;1;0
"Julian Alvarez";5;0;2;4;0;0;3;2;6;7;0;6;1;6;2;9
"Kalvin Phillips";0;0;0;1;1;0;2;1;1;0;1;0;1;0;0;0
"Kyle Walker";5;4;0;3;8;0;0;4;12;3;0;2;3;9;9;0
"Manuel Akanji";0;0;0;3;1;2;1;0;4;2;0;1;1;6;1;0
"Matheus Nunes";10;1;0;4;9;2;8;4;0;9;1;11;1;13;8;5
"Nathan Ake";0;4;0;6;6;0;2;2;14;0;0;5;0;18;18;15
"Oscar Bobb";0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
"Phil Foden";1;0;3;2;9;0;2;1;8;3;0;0;0;9;5;8
"Rico Lewis";0;0;0;0;1;2;1;1;1;0;3;0;0;0;0;0
"Rodri";3;3;0;4;12;0;16;0;14;12;0;9;0;0;15;5
"Ruben Dias";0;4;1;2;6;0;7;1;10;21;0;13;0;12;0;3
"Sergio Gomez";0;2;1;0;5;0;1;0;3;14;0;5;0;10;1;0
