"";"Aleksandar Dragovic";"Cherif Ndiaye";"In-beom Hwang";"Jean-Philippe Krasso";"Kings Kangwa";"Marko Stamenic";"Milan Rodic";"Milos Degenek";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;1;3;0;1;0;1;0;0;1;4;1;1;0;3;1
"Cherif Ndiaye";0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
"In-beom Hwang";1;1;0;1;0;1;0;0;0;1;0;0;0;3;2;1
"Jean-Philippe Krasso";0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0
"Kings Kangwa";0;0;0;1;0;1;0;0;0;0;0;0;1;2;0;2
"Marko Stamenic";1;0;1;2;0;0;0;0;1;1;3;3;0;2;0;0
"Milan Rodic";1;0;0;0;2;0;0;0;1;0;1;1;0;0;1;2
"Milos Degenek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mirko Ivanic";1;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0
"Nasser Djiga";5;0;3;1;1;4;0;0;1;0;1;0;0;3;0;0
"Omri Glazer";1;0;0;0;0;1;0;0;0;5;0;0;0;0;1;0
"Osman Bukari";0;0;5;0;0;0;0;0;0;0;0;0;1;1;1;0
"Peter Olayinka";1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0
"Srdjan Mijailovic";0;0;1;0;0;1;0;0;0;4;2;3;3;0;0;0
"Stefan Mitrovic";1;2;1;0;0;1;2;0;2;0;0;0;0;0;0;0
"Vladimir Lucic";1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0
