"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Raphinha";"Robert Lewandowski";"Sergi Roberto"
"Alex Balde";0;10;0;1;2;10;8;3;12;1;0;4;0;1;3;0
"Andreas Christensen";10;0;0;2;7;15;14;10;3;16;0;2;5;1;1;1
"Fermin Lopez";0;2;0;1;0;0;3;4;0;1;2;0;4;0;1;1
"Ferran Torres";1;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1
"Frenkie de Jong";8;7;0;0;0;14;9;9;5;7;0;0;0;3;1;0
"Gavi";14;10;0;0;15;0;5;10;8;7;0;0;0;0;7;0
"Ilkay Gundogan";7;12;5;1;10;5;0;15;8;15;3;1;8;2;5;3
"Joao Cancelo";1;5;4;0;11;3;21;0;1;18;2;0;5;11;2;0
"Joao Felix";6;3;0;0;2;8;6;2;0;1;0;0;0;0;7;0
"Jules Kounde";1;11;2;1;7;8;18;16;1;0;1;6;8;9;2;3
"Lamine Yamal";0;1;3;0;0;0;1;0;0;3;0;1;0;0;0;4
"Marc-Andre ter Stegen";1;7;0;0;2;0;0;0;0;9;1;0;0;0;0;1
"Oriol Romeu";3;8;3;1;0;0;7;4;0;4;0;0;0;1;0;2
"Raphinha";0;0;2;0;4;1;2;8;0;5;0;0;0;0;0;0
"Robert Lewandowski";2;1;0;0;0;5;2;0;2;1;2;0;0;2;0;2
"Sergi Roberto";0;0;2;1;0;0;2;0;0;4;4;2;1;0;1;0
