"";"Alhassan Yusuf";"Anthony Valencia";"Arbnor Muja";"Arthur Vermeeren";"George Ilenikhena";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Jurgen Ekkelenkamp";"Mandela Keita";"Michel-Ange Balikwisha";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0;0;1;1;2;0;0;0;1;0;1;0;0;4;0
"Anthony Valencia";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"Arbnor Muja";0;0;0;1;0;0;0;3;0;1;0;0;0;0;3;1
"Arthur Vermeeren";2;1;2;0;0;0;0;7;1;2;1;5;2;5;4;1
"George Ilenikhena";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Gyrano Kerk";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
"Jean Butez";0;0;0;2;0;0;0;1;0;6;0;1;3;10;1;0
"Jelle Bataille";0;0;4;5;0;0;3;0;3;2;2;0;0;0;7;0
"Jurgen Ekkelenkamp";0;0;3;2;0;0;0;0;0;3;2;1;0;3;1;1
"Mandela Keita";0;0;0;5;1;0;5;2;2;0;0;1;0;4;3;1
"Michel-Ange Balikwisha";0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0
"Owen Wijndal";2;0;0;0;1;0;0;0;4;2;1;0;0;5;0;3
"Ritchie De Laet";3;0;0;0;1;1;0;2;0;0;0;0;0;0;3;0
"Soumaila Coulibaly";2;1;0;1;0;0;9;1;3;2;0;6;0;0;5;1
"Toby Alderweireld";2;0;1;5;0;0;8;11;1;2;0;0;2;2;0;1
"Vincent Janssen";0;0;0;1;0;0;1;2;0;0;1;1;0;0;3;0
