"";"Alphonso Davies";"Dayot Upamecano";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Mathys Tel";"Noussair Mazraoui";"Sven Ulreich";"Thomas Muller"
"Alphonso Davies";0;8;0;0;6;8;20;12;1;0;6;0;0;0;0
"Dayot Upamecano";4;0;0;0;0;9;30;3;4;0;10;0;30;15;0
"Eric Choupo-Moting";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Harry Kane";0;0;0;0;0;0;0;1;1;0;1;0;0;0;3
"Jamal Musiala";1;1;0;0;0;0;1;4;2;0;2;0;1;0;0
"Joshua Kimmich";12;12;0;0;2;0;6;3;3;0;2;0;8;2;0
"Kim Min-jae";23;25;0;1;0;12;0;4;1;1;0;2;2;4;0
"Kingsley Coman";6;2;0;2;6;3;1;0;0;2;1;1;3;2;0
"Konrad Laimer";0;1;0;0;2;1;0;0;0;0;9;0;4;0;0
"Leon Goretzka";0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
"Leroy Sane";3;7;0;2;0;3;2;2;4;0;0;0;15;1;0
"Mathys Tel";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Noussair Mazraoui";0;34;0;1;1;1;0;7;7;0;21;0;0;2;0
"Sven Ulreich";0;6;0;0;0;4;9;0;0;0;1;0;0;0;0
"Thomas Muller";0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
