"";"Adria Pedrosa";"Djibril Sow";"Dodi Lukebakio";"Fernando";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Loic Bade";"Lucas Ocampos";"Marcos Acuna";"Nemanja Gudelj";"Oliver Torres";"Orjan Nyland";"Sergio Ramos";"Suso";"Youssef En-Nesyri"
"Adria Pedrosa";0;0;4;1;2;0;0;0;1;0;0;0;4;1;1;2
"Djibril Sow";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Dodi Lukebakio";1;0;0;2;3;1;1;0;0;0;1;1;0;2;1;1
"Fernando";0;0;2;0;2;3;0;0;2;0;0;0;0;5;1;1
"Ivan Rakitic";2;0;3;0;0;2;0;0;3;2;0;1;0;2;4;1
"Jesus Navas";1;0;3;2;2;0;0;0;5;0;3;0;0;1;2;2
"Juanlu Sanchez ";0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
"Loic Bade";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lucas Ocampos";2;0;0;1;1;3;0;0;0;0;0;1;1;1;1;0
"Marcos Acuna";0;0;1;0;2;0;0;0;0;0;0;3;0;0;0;1
"Nemanja Gudelj";1;1;0;2;0;4;0;0;2;0;0;0;4;3;2;0
"Oliver Torres";0;0;4;0;1;0;1;0;2;1;0;0;0;1;0;0
"Orjan Nyland";2;0;0;0;1;1;0;0;0;0;1;0;0;2;0;1
"Sergio Ramos";8;2;3;2;2;0;0;0;0;2;4;2;1;0;0;1
"Suso";3;0;2;1;0;2;0;0;2;0;0;0;0;1;0;1
"Youssef En-Nesyri";1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0
