"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Eddie Nketiah";"Emile Smith Rowe";"Fabio Vieira";"Gabriel Jesus";"Gabriel Magalhaes";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Oleksandr Zinchenko";"Reiss Nelson";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;5
"Bukayo Saka";0;0;0;9;0;0;0;3;0;0;2;0;0;0;4;0
"David Raya";0;0;0;10;0;0;1;1;5;2;1;2;6;0;0;7
"Declan Rice";4;3;0;0;0;2;8;4;15;1;0;13;20;1;11;10
"Eddie Nketiah";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Emile Smith Rowe";0;0;0;0;1;0;1;1;2;0;0;0;0;2;2;1
"Fabio Vieira";1;0;0;5;0;1;0;2;1;0;0;3;3;1;4;3
"Gabriel Jesus";0;2;3;3;0;0;4;0;1;0;1;4;1;0;0;2
"Gabriel Magalhaes";1;0;11;12;0;1;0;0;0;4;3;1;10;2;7;17
"Kai Havertz";0;2;0;0;0;0;0;0;3;0;9;1;3;0;1;0
"Leandro Trossard";0;0;0;1;0;0;0;1;3;3;0;3;7;0;3;0
"Martin Odegaard";0;1;0;8;0;1;0;4;5;2;1;0;5;0;4;5
"Oleksandr Zinchenko";0;0;5;11;0;0;0;1;13;7;7;3;0;0;10;8
"Reiss Nelson";0;0;0;0;1;2;0;1;1;0;0;0;0;0;3;0
"Takehiro Tomiyasu";1;9;2;12;0;2;7;9;7;0;0;3;1;3;0;9
"William Saliba";4;1;8;22;0;1;3;0;14;2;0;2;9;0;11;0
