"";"Aleksa Terzic";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Nicolas Capaldo";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Strahinja Pavlovic"
"Aleksa Terzic";0;0;3;0;1;4;1;0;3;0;1;0;1;3;0;7
"Alexander Schlager";4;0;0;2;0;7;0;0;0;0;0;4;0;0;6;11
"Amankwah Forson";1;0;0;0;0;1;2;0;0;2;1;0;0;1;1;0
"Amar Dedic";0;1;1;0;0;10;0;2;0;0;1;4;1;0;6;2
"Karim Konate";1;0;0;1;0;0;0;0;0;0;1;2;0;1;0;1
"Lucas Gourna-Douath";5;6;0;4;0;0;2;2;0;0;4;5;1;1;5;10
"Luka Sucic";1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3
"Mads Bidstrup";0;2;1;1;0;1;0;0;0;0;0;2;0;1;0;0
"Maurits Kjaergaard";2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3
"Nicolas Capaldo";1;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0
"Oscar Gloukh";1;0;3;0;2;2;0;1;0;0;0;3;0;1;0;1
"Oumar Solet";0;3;0;2;1;6;0;1;1;0;1;0;0;0;0;7
"Petar Ratkov";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"Roko Simic";0;0;1;1;1;3;1;1;2;1;2;0;1;0;0;1
"Samson Baidoo";1;4;0;8;0;4;0;3;0;1;0;0;1;1;0;6
"Strahinja Pavlovic";8;8;4;2;0;10;1;1;3;1;2;3;0;2;5;0
