"";"Alireza Jahanbakhsh";"Ayase Ueda";"Bart Nieuwkoop";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Timon Wellenreuther";"Yankuba Minteh"
"Alireza Jahanbakhsh";0;0;2;0;2;0;0;1;0;0;1;0;0;0;0
"Ayase Ueda";0;0;0;0;0;0;1;1;2;0;0;1;1;0;0
"Bart Nieuwkoop";1;0;0;1;0;0;0;3;0;1;0;0;0;1;1
"Calvin Stengs";2;3;1;0;0;0;4;10;1;0;2;1;3;1;1
"David Hancko";0;1;1;3;0;16;4;13;3;0;11;2;3;3;0
"Gernot Trauner";0;0;0;2;14;0;2;14;1;0;7;1;6;3;0
"Igor Paixao";0;0;0;3;1;0;0;0;0;0;7;2;3;0;1
"Lutsharel Geertruida";1;1;3;12;8;13;2;0;2;1;2;5;8;2;1
"Mats Wieffer";0;1;0;3;0;2;0;6;0;0;1;0;1;1;0
"Ondrej Lingr";0;0;0;0;0;0;1;1;0;0;3;0;1;0;0
"Quilindschy Hartman";0;0;0;4;19;4;6;1;0;2;0;4;2;0;1
"Quinten Timber";1;2;2;3;2;1;2;3;1;0;3;0;1;0;0
"Ramiz Zerrouki";0;1;0;4;4;2;3;1;2;1;11;2;0;2;0
"Timon Wellenreuther";0;0;0;0;9;6;0;2;0;0;1;1;1;0;0
"Yankuba Minteh";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
