"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"Daizen Maeda";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Nathaniel Phillips";"Paulo Bernardo";"Reo Hatate"
"Alistair Johnston";0;9;4;11;0;0;0;4;0;3;0;9;16;0;2
"Callum McGregor";13;0;4;0;19;0;5;0;1;11;4;5;4;1;5
"Cameron Carter-Vickers";11;1;0;2;0;0;0;1;0;16;0;0;0;0;0
"Daizen Maeda";6;5;2;0;1;0;0;0;3;0;1;8;0;0;2
"Greg Taylor";0;14;1;0;0;1;12;2;4;18;8;5;1;3;8
"Hyeon-gyu Oh";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Hyun-jun Yang";0;3;0;1;5;0;0;0;1;1;0;0;1;0;3
"Joe Hart";1;1;3;0;0;0;0;0;0;22;0;0;9;0;0
"Kyogo Furuhashi";1;0;0;2;1;0;0;0;0;0;0;3;0;0;0
"Liam Scales";1;14;16;0;27;0;2;11;0;0;3;1;11;1;7
"Luis Palma";0;3;0;0;4;1;0;0;0;2;0;0;0;3;4
"Matt O'Riley";3;5;0;2;2;0;1;1;3;3;1;0;3;0;3
"Nathaniel Phillips";17;7;0;3;0;0;0;9;1;14;0;1;0;0;0
"Paulo Bernardo";1;2;0;1;1;1;0;0;0;1;0;0;0;0;0
"Reo Hatate";3;3;0;2;5;0;4;0;0;2;1;4;1;0;0
