"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Dan Burn";"Elliot Anderson";"Fabian Schar";"Jacob Murphy";"Jamaal Lascelles";"Kieran Trippier";"Matt Targett";"Miguel Almiron";"Nick Pope";"Sandro Tonali";"Sean Longstaff"
"Alexander Isak";0;4;1;0;0;0;0;0;0;0;0;0;1;2
"Anthony Gordon";1;0;2;2;1;2;0;0;0;0;0;0;1;2
"Bruno Guimaraes";8;1;0;1;1;3;0;1;2;0;0;0;3;3
"Dan Burn";1;4;4;0;1;0;0;0;0;0;0;0;7;3
"Elliot Anderson";0;1;1;0;0;0;0;0;0;0;0;0;0;2
"Fabian Schar";0;0;4;3;1;0;1;1;2;0;2;2;1;1
"Jacob Murphy";0;0;0;0;0;1;0;0;1;0;0;0;0;0
"Jamaal Lascelles";0;0;1;0;0;1;0;0;1;0;0;1;0;1
"Kieran Trippier";0;0;2;0;0;1;1;1;0;0;4;0;0;8
"Matt Targett";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miguel Almiron";1;0;0;0;0;0;0;0;5;0;0;0;0;2
"Nick Pope";0;0;0;0;0;1;0;0;2;0;0;0;0;0
"Sandro Tonali";1;2;3;2;0;1;0;0;0;0;1;0;0;0
"Sean Longstaff";2;2;5;2;1;4;1;0;3;0;5;0;1;0
