"";"Achraf Hakimi";"Bradley Barcola";"Gianluigi Donnarumma";"Goncalo Ramos";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;2;10;5;0;12;17;1;26;0;6;8
"Bradley Barcola";0;0;0;0;8;3;0;1;0;1;0;1;1
"Gianluigi Donnarumma";3;0;0;0;0;3;0;14;11;0;0;0;0
"Goncalo Ramos";6;2;0;0;1;2;3;0;0;5;1;1;2
"Kylian Mbappe";3;3;0;3;0;7;1;0;0;3;6;2;6
"Lucas Hernandez";0;6;2;1;12;0;3;1;16;0;8;1;10
"Manuel Ugarte";5;0;0;2;3;7;0;5;11;3;1;0;5
"Marquinhos";33;1;5;1;0;2;5;0;19;4;0;3;4
"Milan Skriniar";2;0;8;2;4;19;7;24;0;0;0;5;5
"Ousmane Dembele";15;0;0;2;1;1;6;2;0;0;0;5;9
"Randal Kolo Muani";0;0;0;2;4;1;1;0;0;1;0;0;2
"Vitinha Ferreira";8;1;0;2;1;1;0;4;1;1;0;0;6
"Warren Zaire-Emery";8;2;1;5;5;12;5;3;6;2;0;4;0
