"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"In-beom Hwang";"Jean-Philippe Krasso";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;1;0;2;0;1;4;2;5;4;0;0;2;0;0
"Aleksandar Katai";1;0;0;2;0;0;0;0;0;0;0;0;1;0;4
"Cherif Ndiaye";1;0;0;3;0;0;0;3;0;0;2;0;0;1;1
"In-beom Hwang";1;0;6;0;0;0;1;3;1;0;3;0;7;1;2
"Jean-Philippe Krasso";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"Marko Stamenic";1;0;0;1;0;0;0;1;1;0;0;0;0;3;0
"Milan Rodic";2;0;1;1;0;0;0;2;1;0;0;0;1;6;0
"Mirko Ivanic";1;0;1;2;0;0;2;0;2;0;3;0;0;2;1
"Nasser Djiga";5;1;0;2;0;2;1;6;0;3;2;0;4;0;0
"Omri Glazer";2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"Osman Bukari";0;0;2;3;1;0;0;2;1;0;0;1;2;0;2
"Peter Olayinka";0;2;1;0;0;0;0;0;0;0;1;0;1;0;0
"Srdjan Mijailovic";1;2;1;3;2;1;0;2;1;1;5;0;0;0;1
"Stefan Mitrovic";1;0;0;0;0;2;3;1;2;1;0;0;0;0;0
"Vladimir Lucic";1;2;0;2;0;0;0;0;0;0;0;1;1;0;0
