"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Josko Gvardiol";"Julian Alvarez";"Kyle Walker";"Manuel Akanji";"Matheus Nunes";"Nathan Ake";"Phil Foden";"Rico Lewis";"Rodri";"Ruben Dias"
"Bernardo Silva";0;1;1;2;0;0;0;16;8;0;1;3;9;7;0
"Ederson";0;0;0;0;0;8;0;2;2;0;1;0;2;2;8
"Erling Haaland";3;0;0;1;0;2;1;0;2;0;0;1;1;0;0
"Jack Grealish";4;0;1;0;0;21;0;0;1;0;0;12;0;5;2
"Jeremy Doku";0;0;0;0;0;5;2;0;0;0;1;1;0;2;0
"Josko Gvardiol";2;6;2;7;6;0;1;2;7;0;7;19;3;25;23
"Julian Alvarez";0;0;0;0;2;0;0;0;0;0;0;0;0;1;0
"Kyle Walker";16;3;4;0;0;2;0;0;9;0;1;1;8;7;22
"Manuel Akanji";4;4;1;0;0;3;0;19;0;0;0;3;6;13;14
"Matheus Nunes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Nathan Ake";0;1;0;0;1;3;1;1;0;0;0;1;1;4;5
"Phil Foden";2;1;1;13;1;11;0;2;1;0;0;0;0;17;7
"Rico Lewis";9;1;3;0;1;2;0;3;5;0;1;3;0;5;6
"Rodri";7;4;0;8;2;17;0;16;12;0;2;10;9;0;10
"Ruben Dias";6;2;0;8;0;26;0;8;18;0;4;10;7;18;0
