"";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Irakli Azarovi";"Maryan Shved";"Mykola Matvienko";"Oleksandr Zubkov";"Taras Stepanenko";"Yaroslav Rakitskyi";"Yegor Nazaryna";"Yukhym Konoplya"
"Danylo Sikan";0;2;0;0;0;0;0;3;2;2;3;2
"Dmytro Kryskiv";0;0;0;0;3;0;1;1;3;1;1;3
"Dmytro Riznyk";0;0;0;0;0;0;5;0;0;9;0;1
"Georgiy Sudakov";2;4;0;0;4;0;2;1;1;1;2;3
"Irakli Azarovi";3;3;1;6;0;0;13;1;8;1;3;0
"Maryan Shved";0;0;0;0;0;0;0;0;0;0;0;0
"Mykola Matvienko";0;3;6;3;8;0;0;0;4;18;9;3
"Oleksandr Zubkov";1;0;0;3;0;0;0;0;1;0;3;7
"Taras Stepanenko";3;1;0;1;5;0;2;1;0;7;5;2
"Yaroslav Rakitskyi";2;1;1;3;2;0;15;3;5;0;8;9
"Yegor Nazaryna";1;0;1;3;7;0;7;4;7;4;0;5
"Yukhym Konoplya";5;2;2;5;0;0;4;6;2;7;5;0
