"";"Alejandro Garnacho";"Andre Onana";"Anthony Martial";"Antony";"Bruno Fernandes";"Christian Eriksen";"Diogo Dalot";"Harry Maguire";"Marcus Rashford";"Raphael Varane";"Rasmus Hojlund";"Scott McTominay";"Sergio Reguilon";"Sofyan Amrabat";"Victor Lindelof"
"Alejandro Garnacho";0;0;0;0;1;3;0;0;1;1;0;0;0;0;2
"Andre Onana";0;0;0;0;0;0;1;4;0;2;0;0;1;1;2
"Anthony Martial";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Antony";0;0;0;0;4;1;5;0;2;4;1;2;1;2;0
"Bruno Fernandes";0;0;0;3;0;2;0;5;4;4;3;3;5;1;0
"Christian Eriksen";2;0;0;0;2;0;3;5;2;4;2;2;0;0;2
"Diogo Dalot";0;1;0;5;3;4;0;0;2;19;0;5;0;1;0
"Harry Maguire";2;7;0;0;3;1;3;0;2;22;1;4;17;7;1
"Marcus Rashford";0;1;0;1;5;1;4;4;0;1;0;1;9;0;0
"Raphael Varane";0;6;0;3;6;7;11;22;2;0;1;4;4;7;0
"Rasmus Hojlund";0;0;0;1;0;2;2;0;2;1;0;2;0;1;0
"Scott McTominay";1;0;0;4;3;3;2;2;4;5;2;0;2;1;1
"Sergio Reguilon";0;2;0;0;4;2;0;14;11;1;5;0;0;2;0
"Sofyan Amrabat";0;0;0;4;0;0;5;5;0;9;1;0;0;0;0
"Victor Lindelof";4;1;0;0;0;3;0;4;0;1;1;1;0;0;0
