"";"Christian Sorensen";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Orri Oskarsson";"Oscar Hojlund";"Peter Ankersen";"Rasmus Falk";"Viktor Claesson"
"Christian Sorensen";0;0;1;2;0;0;1;3;0;0;0;0;0;0;0
"Denis Vavro";0;0;0;0;3;0;14;27;5;3;0;0;10;7;1
"Diogo Goncalves";1;0;0;4;3;0;0;4;0;2;0;0;1;3;2
"Elias Achouri";0;1;5;0;1;0;0;3;3;0;0;0;0;3;0
"Elias Jelert";0;2;7;3;0;0;1;9;2;0;0;0;1;5;1
"Jordan Larsson";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kamil Grabara";0;11;0;0;1;0;0;10;0;0;0;0;1;2;0
"Kevin Diks";4;31;3;2;12;0;7;0;0;1;0;0;1;6;2
"Lukas Lerager";0;4;1;2;1;2;0;0;0;4;0;0;6;0;2
"Mohamed Elyounoussi";0;1;1;0;1;0;0;0;1;0;0;1;6;4;4
"Orri Oskarsson";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Oscar Hojlund";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Peter Ankersen";0;21;1;1;0;0;4;1;3;4;0;0;0;13;4
"Rasmus Falk";2;6;7;2;3;0;2;8;5;3;1;0;8;0;4
"Viktor Claesson";0;0;5;4;1;0;0;0;3;6;0;0;2;7;0
