"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Christopher Trimmel";"Danilho Doekhi";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Kevin Behrens";"Kevin Volland";"Lucas Tousart";"Rani Khedira";"Robin Gosens";"Robin Knoche";"Sheraldo Becker"
"Aissa Laidouni";0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"Alex Kral";0;0;0;1;1;0;2;0;0;0;0;0;0;2;5;2
"Brenden Aaronson";0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;1
"Christopher Trimmel";4;0;1;0;7;6;0;0;0;0;0;1;0;0;7;3
"Danilho Doekhi";0;0;2;4;0;0;2;6;2;1;0;0;1;0;4;1
"David Fofana";0;0;0;5;0;0;0;0;0;0;0;0;1;0;1;1
"Diogo Leite";0;3;0;1;0;0;0;8;4;0;0;1;1;7;8;4
"Frederik Ronnow";0;0;0;2;4;0;6;0;1;0;0;1;0;0;3;0
"Janik Haberer";0;1;1;2;0;1;2;0;0;0;0;0;0;5;2;2
"Kevin Behrens";2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Kevin Volland";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
"Lucas Tousart";0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1
"Rani Khedira";0;0;0;4;1;0;2;0;2;0;0;0;0;0;0;1
"Robin Gosens";0;0;0;0;0;1;10;1;2;0;0;0;0;0;2;4
"Robin Knoche";0;2;2;1;7;0;5;9;1;1;1;0;1;1;0;2
"Sheraldo Becker";0;1;2;1;0;2;0;0;1;0;0;1;2;2;0;0
