"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Davy Klaassen";"Denzel Dumfries";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;1;10;16;0;0;0;7;1;1;1;1;0;7;4;4
"Alexis Sanchez";0;0;0;2;1;0;0;3;0;0;1;0;0;2;0;0
"Benjamin Pavard";5;0;0;0;6;0;8;5;2;1;2;1;2;2;9;11
"Carlos Augusto";11;5;1;0;0;1;0;0;8;1;3;2;0;5;5;2
"Davide Frattesi";0;1;2;0;0;0;2;0;0;0;1;0;0;0;1;0
"Davy Klaassen";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"Denzel Dumfries";1;0;15;0;3;0;0;3;1;0;0;0;0;0;3;1
"Hakan Calhanoglu";6;2;6;1;0;0;2;0;4;0;1;0;1;1;3;2
"Henrikh Mkhitaryan";0;2;2;4;1;0;5;2;0;0;3;0;0;0;3;2
"Kristjan Asllani";1;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0
"Lautaro Martinez";2;0;3;2;1;0;0;1;4;0;0;2;1;0;0;0
"Marcus Thuram";0;0;0;0;2;0;0;1;0;2;0;0;0;2;0;0
"Matteo Darmian";0;0;1;0;1;0;0;1;0;1;1;2;0;0;0;0
"Nicolo Barella";7;0;1;5;0;2;0;4;0;2;3;1;1;0;1;0
"Stefan de Vrij";12;0;10;4;0;0;5;4;3;0;0;0;0;2;0;5
"Yann Sommer";7;0;5;5;0;0;0;1;1;0;0;0;1;3;8;0
