"";"Aihen Munoz";"Alex Remiro";"Ander Barrene";"Aritz Elustondo";"Arsen Zakharyan";"Brais Mendez";"Carlos Fernandez";"Hamari Traore";"Igor Zubeldia";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Mohamed Cho";"Robin Le Normand";"Takefusa Kubo"
"Aihen Munoz";0;0;17;0;2;0;1;0;1;4;12;0;0;11;1
"Alex Remiro";3;0;0;0;0;0;0;0;2;4;1;0;0;4;0
"Ander Barrene";12;0;0;0;0;3;0;0;0;4;9;5;0;0;2
"Aritz Elustondo";0;0;0;0;0;3;0;0;5;1;0;1;0;0;0
"Arsen Zakharyan";2;0;0;0;0;2;1;0;0;1;0;0;0;0;0
"Brais Mendez";2;0;3;2;2;0;0;12;5;9;7;0;0;1;7
"Carlos Fernandez";0;0;0;0;1;1;0;0;0;0;1;1;0;0;0
"Hamari Traore";0;0;0;0;0;11;0;0;15;6;1;3;0;2;13
"Igor Zubeldia";2;14;0;3;0;6;0;11;0;6;0;1;0;22;4
"Martin Zubimendi";6;1;1;3;1;6;0;8;16;0;7;3;0;11;0
"Mikel Merino";4;1;8;0;1;7;1;4;3;8;0;8;0;1;7
"Mikel Oyarzabal";2;0;2;1;0;2;0;0;1;10;0;0;0;0;2
"Mohamed Cho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Robin Le Normand";19;8;1;0;0;0;0;1;18;4;3;0;0;0;0
"Takefusa Kubo";0;0;3;1;0;2;0;4;0;5;1;1;0;0;0
