"";"Alexander Bah";"Anatoliy Trubin";"Antonio Silva";"Arthur Cabral";"Chiquinho";"David Jurasek";"David Neres";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Juan Bernat";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tiago Gouveia"
"Alexander Bah";0;1;9;1;0;1;6;1;1;5;0;1;1;0;3;0
"Anatoliy Trubin";1;0;1;0;0;1;0;1;0;1;0;4;0;0;1;0
"Antonio Silva";7;3;0;0;0;0;3;4;0;4;0;3;5;0;0;1
"Arthur Cabral";1;0;0;0;1;0;4;1;0;2;0;1;1;0;0;0
"Chiquinho";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"David Jurasek";0;1;0;1;0;0;0;3;3;0;0;3;0;0;1;0
"David Neres";6;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0
"Fredrik Aursnes";3;1;3;0;0;4;1;0;5;5;0;4;2;1;2;0
"Joao Mario";1;0;0;0;0;4;2;6;0;0;0;0;0;0;1;0
"Joao Neves";3;0;4;1;0;0;4;3;0;0;0;1;3;0;4;1
"Juan Bernat";0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0
"Nicolas Otamendi";4;1;4;1;0;4;0;4;1;0;1;0;1;0;0;0
"Orkun Kokcu";3;1;1;2;0;1;1;2;0;1;1;2;0;0;2;1
"Petar Musa";1;0;0;0;0;1;0;1;2;1;0;1;0;0;1;0
"Rafa Silva";2;1;0;1;0;0;1;2;1;4;1;0;0;0;0;2
"Tiago Gouveia";0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
