"";"Achraf Hakimi";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Nordi Mukiele";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;2;0;2;9;0;1;4;8;1;0;17;8;5;6
"Fabian Ruiz";4;0;0;0;0;1;0;0;2;0;0;0;1;0;4
"Gianluigi Donnarumma";9;0;0;0;0;0;0;1;7;6;0;0;1;1;0
"Goncalo Ramos";0;1;0;0;1;0;1;0;0;0;0;0;0;1;0
"Kang-In Lee";5;0;0;0;0;1;0;0;0;1;0;0;1;0;3
"Kylian Mbappe";1;0;0;1;0;0;8;2;1;0;0;2;2;7;5
"Lucas Hernandez";0;0;3;0;0;8;0;0;0;13;0;0;1;21;3
"Manuel Ugarte";7;0;1;0;0;0;6;0;6;3;0;0;0;1;3
"Marquinhos";15;0;6;0;0;1;2;4;0;7;0;1;2;1;2
"Milan Skriniar";1;1;9;0;0;0;12;0;5;0;0;0;0;7;5
"Nordi Mukiele";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ousmane Dembele";9;0;0;0;0;1;1;9;0;0;0;0;1;1;1
"Randal Kolo Muani";3;0;0;0;1;2;0;0;1;0;0;4;0;3;3
"Vitinha Ferreira";1;3;0;1;1;20;10;2;3;2;0;2;3;0;8
"Warren Zaire-Emery";8;1;0;0;2;6;4;8;1;2;0;4;3;7;0
