"";"Anthony Racioppi";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Jean-Pierre Nsame";"Joel Monteiro";"Lewin Blum";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Noah Persson";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;1;1;0;2;0;0;0;6;0;4;0;0;4;0;1
"Cedric Itten";0;0;3;0;0;0;2;0;0;1;0;0;0;1;0;0
"Cheikh Niasse";2;1;0;1;3;0;0;2;1;0;4;0;2;3;0;5
"Darian Males";0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0
"Filip Ugrinic";0;1;2;1;0;0;0;2;3;1;3;1;1;2;1;1
"Jean-Pierre Nsame";0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1
"Joel Monteiro";0;1;0;0;4;0;0;4;0;0;0;0;0;2;0;1
"Lewin Blum";0;0;2;0;0;0;2;0;0;0;7;0;0;1;0;0
"Loris Benito";9;1;3;3;1;2;1;1;0;2;7;1;1;3;0;2
"Meschack Elia";0;0;1;0;0;0;2;0;3;0;0;2;0;1;0;1
"Mohamed Ali Camara";9;1;4;0;0;1;0;3;10;1;0;0;0;2;2;1
"Noah Persson";0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0
"Saidy Janko";0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0
"Sandro Lauper";1;0;2;0;2;1;1;7;5;3;4;0;0;0;0;1
"Silvere Ganvoula";0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
"Ulisses Garcia";1;2;5;0;2;1;1;0;4;1;0;0;0;3;0;0
