"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"In-beom Hwang";"Jovan Mijatovic";"Kosta Nedeljkovic";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;1;2;1;2;2;3;2;3;1;3;0;1;5;3
"Aleksandar Katai";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cherif Ndiaye";0;0;0;2;0;0;1;0;3;0;0;1;4;2;3;0
"In-beom Hwang";4;1;4;0;0;1;2;4;4;0;0;2;0;3;6;2
"Jovan Mijatovic";0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1
"Kosta Nedeljkovic";0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;1
"Marko Stamenic";2;0;0;4;0;0;0;0;1;1;0;0;0;2;1;0
"Milan Rodic";3;0;1;2;0;0;1;0;5;1;1;0;0;0;0;0
"Mirko Ivanic";0;0;3;6;1;0;0;2;0;0;0;1;2;0;3;0
"Nasser Djiga";10;0;0;0;0;0;1;1;0;0;3;0;0;5;0;2
"Omri Glazer";1;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0
"Osman Bukari";0;3;1;1;0;1;1;0;1;0;0;0;0;1;0;2
"Peter Olayinka";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Srdjan Mijailovic";0;0;5;0;1;0;4;0;0;9;0;1;1;0;0;0
"Stefan Mitrovic";0;0;1;6;0;0;1;2;4;0;0;1;0;0;0;0
"Vladimir Lucic";1;2;0;2;1;0;1;0;3;1;0;1;0;0;0;0
