"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Dani Olmo";"David Raum";"Emil Forsberg";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;0;0;0;0;0;3;4;6;2;0;10;0;5;1;1
"Benjamin Sesko";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"Castello Lukeba";0;0;0;1;0;21;1;10;10;2;2;12;0;10;0;0
"Christoph Baumgartner";0;0;0;0;0;1;0;0;3;1;1;5;0;3;1;0
"Dani Olmo";0;0;0;0;0;4;0;0;3;0;0;0;3;0;0;0
"David Raum";0;1;12;2;5;0;2;3;3;2;0;0;1;11;13;3
"Emil Forsberg";2;0;0;0;0;0;0;0;2;0;0;3;0;3;3;2
"Janis Blaswich";3;0;15;1;0;6;1;0;5;0;1;4;0;2;0;0
"Kevin Kampl";2;0;15;4;2;6;2;6;0;4;5;12;2;10;5;1
"Lois Openda";3;0;1;1;0;2;1;0;1;0;0;1;0;0;1;2
"Lukas Klostermann";0;0;1;4;0;0;0;3;4;0;0;1;0;1;1;0
"Mohamed Simakan";17;0;8;7;0;1;2;4;12;1;1;0;3;1;1;1
"Timo Werner";0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0
"Xaver Schlager";4;1;10;3;2;10;2;2;10;3;0;1;2;0;3;2
"Xavi Simons";1;0;1;0;0;6;1;0;5;3;0;2;0;5;0;3
"Yussuf Poulsen";1;0;0;0;0;2;2;0;2;2;0;1;0;1;1;0
