"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Lamine Yamal";"Marc-Andre ter Stegen";"Marc Casado";"Marc Guiu";"Marcos Alonso";"Oriol Romeu";"Ronald Araujo"
"Alex Balde";0;0;0;2;0;1;0;0;0;0;0;1;0;1;0
"Andreas Christensen";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Fermin Lopez";0;0;0;0;1;3;9;6;4;0;0;0;2;1;2
"Ferran Torres";3;0;1;0;3;1;0;2;5;0;1;0;0;1;0
"Ilkay Gundogan";1;0;4;1;0;9;8;7;2;1;0;0;4;3;6
"Inigo Martinez";1;0;2;3;6;0;5;2;0;8;0;0;14;2;12
"Joao Cancelo";0;0;9;1;7;3;0;0;13;2;1;1;0;6;16
"Joao Felix";0;0;2;3;7;2;0;0;0;0;0;0;4;3;0
"Lamine Yamal";0;0;6;3;3;0;13;0;0;0;2;1;0;1;4
"Marc-Andre ter Stegen";0;0;1;1;2;7;0;0;0;0;0;0;0;1;6
"Marc Casado";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"Marc Guiu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Marcos Alonso";0;0;2;1;7;7;1;10;0;1;0;0;0;1;2
"Oriol Romeu";1;0;1;0;4;3;7;4;3;0;1;0;2;0;7
"Ronald Araujo";0;1;4;3;6;20;15;0;4;4;0;0;0;5;0
