"";"Artem Bondarenko";"Artur Rudko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Eguinaldo";"Georgiy Sudakov";"Irakli Azarovi";"Kevin Kelsy ";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yukhym Konoplya"
"Artem Bondarenko";0;0;0;2;2;1;7;7;1;11;0;4;4;4;4
"Artur Rudko";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Danylo Sikan";2;0;0;2;0;0;2;1;0;0;0;2;3;1;1
"Dmytro Kryskiv";2;0;2;0;0;0;3;3;0;3;0;1;2;3;0
"Dmytro Riznyk";3;0;0;0;0;0;0;4;0;6;0;0;0;4;0
"Eguinaldo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Georgiy Sudakov";10;0;2;5;0;1;0;5;0;0;1;5;7;1;0
"Irakli Azarovi";2;0;1;2;4;0;10;0;0;13;0;1;5;4;0
"Kevin Kelsy ";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Mykola Matvienko";14;1;1;5;5;0;5;8;0;0;0;0;7;5;0
"Newerton";0;0;0;0;0;0;0;3;0;0;0;1;0;0;0
"Oleksandr Zubkov";4;0;0;2;1;0;4;0;0;2;0;0;2;1;5
"Taras Stepanenko";8;0;2;1;0;0;8;2;0;6;1;3;0;4;0
"Valeriy Bondar";5;0;0;0;5;0;1;1;0;9;0;6;1;0;8
"Yukhym Konoplya";2;0;0;0;0;0;3;0;0;1;0;4;5;4;0
