"";"Alhassan Yusuf";"Anthony Valencia";"Arbnor Muja";"Arthur Vermeeren";"Chidera Ejuke";"George Ilenikhena";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Jurgen Ekkelenkamp";"Michel-Ange Balikwisha";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0;3;1;2;0;0;2;5;3;2;0;2;7;5;2
"Anthony Valencia";0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0
"Arbnor Muja";0;0;0;5;0;0;0;0;0;3;1;0;7;0;0;1
"Arthur Vermeeren";3;0;1;0;0;0;1;1;0;2;2;1;4;4;5;1
"Chidera Ejuke";1;1;0;0;0;0;1;0;1;0;0;3;0;0;1;0
"George Ilenikhena";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gyrano Kerk";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jean Butez";5;0;0;0;0;0;0;0;3;0;0;1;2;15;5;0
"Jelle Bataille";5;1;1;3;1;1;2;3;0;2;5;0;0;8;2;1
"Jurgen Ekkelenkamp";1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0
"Michel-Ange Balikwisha";1;0;1;0;0;0;0;0;5;0;0;2;0;3;0;2
"Owen Wijndal";2;1;0;0;4;0;0;0;0;0;2;0;0;1;0;1
"Ritchie De Laet";3;0;8;6;0;0;0;3;0;0;0;0;0;0;4;2
"Soumaila Coulibaly";3;0;0;1;0;0;0;11;10;1;2;2;0;0;29;0
"Toby Alderweireld";3;1;0;3;0;0;0;18;1;0;0;1;3;15;0;0
"Vincent Janssen";0;0;3;1;0;0;0;0;1;0;1;0;0;0;1;0
