"";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Kevin Kelsy ";"Maryan Shved";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yaroslav Rakitskyi";"Yegor Nazaryna"
"Danylo Sikan";0;2;0;2;0;0;0;1;1;0;0;0;0;0
"Dmytro Kryskiv";2;0;1;5;3;0;0;0;3;6;2;3;2;0
"Dmytro Riznyk";0;1;0;2;1;0;0;3;0;0;1;2;4;0
"Georgiy Sudakov";0;4;1;0;4;0;0;10;3;3;4;3;4;2
"Giorgi Gocholeishvili";2;9;1;0;0;0;0;1;2;4;2;5;0;0
"Kevin Kelsy ";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Maryan Shved";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mykola Matvienko";1;1;0;6;0;1;0;0;6;0;1;2;11;0
"Newerton";3;0;0;5;0;0;0;6;0;0;1;0;1;0
"Oleksandr Zubkov";2;1;2;3;3;2;0;1;3;0;2;1;1;0
"Taras Stepanenko";0;1;0;3;2;0;0;2;1;2;0;5;3;0
"Valeriy Bondar";1;3;7;3;5;0;0;0;0;3;3;0;5;0
"Yaroslav Rakitskyi";1;3;6;5;2;0;0;7;1;0;2;0;0;1
"Yegor Nazaryna";0;1;0;1;0;0;0;0;0;1;0;1;1;0
