"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"Daizen Maeda";"David Turnbull";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Odin Holm";"Paulo Bernardo";"Tomoki Iwata"
"Alistair Johnston";0;8;7;8;0;2;1;0;1;2;1;2;3;0;2;0
"Callum McGregor";3;0;4;0;0;10;0;1;1;0;7;3;2;1;2;0
"Cameron Carter-Vickers";17;4;0;1;1;2;0;0;8;0;12;0;2;1;1;0
"Daizen Maeda";2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
"David Turnbull";0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1
"Greg Taylor";0;3;0;1;2;0;4;0;0;1;16;10;0;0;8;0
"Hyeon-gyu Oh";1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
"Hyun-jun Yang";0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0
"Joe Hart";2;1;4;0;0;2;0;0;0;0;9;0;1;1;0;0
"Kyogo Furuhashi";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Liam Scales";2;3;18;0;2;15;1;0;7;0;0;5;1;0;1;0
"Luis Palma";2;2;0;0;0;3;0;0;0;0;0;0;2;0;1;0
"Matt O'Riley";2;2;2;1;0;1;0;0;2;0;1;1;0;0;0;0
"Odin Holm";1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0
"Paulo Bernardo";3;5;1;0;0;5;0;0;0;0;2;0;0;0;0;0
"Tomoki Iwata";1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0
