"";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Nicolo Rovella";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Alessio Romagnoli";0;1;1;9;1;6;0;3;0;3;2;0;0;7;0;0
"Ciro Immobile";0;0;1;2;0;0;0;1;1;0;1;4;0;1;0;0
"Daichi Kamada";1;0;0;0;5;0;0;0;0;1;0;1;0;3;0;0
"Elseid Hysaj";6;3;1;0;0;1;0;4;0;1;0;10;0;1;0;0
"Felipe Anderson";0;1;3;0;0;0;0;4;4;3;7;0;1;5;0;1
"Ivan Provedel";7;0;0;0;0;0;0;1;0;2;0;0;0;9;0;0
"Luca Pellegrini";1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
"Luis Alberto";3;4;0;6;3;0;0;0;1;2;1;1;0;8;4;2
"Manuel Lazzari";1;1;1;2;10;2;0;1;0;0;2;0;0;8;0;1
"Matias Vecino";1;0;2;1;3;1;0;4;1;0;0;1;0;3;0;1
"Matteo Guendouzi";2;0;0;0;2;1;0;2;2;1;0;0;0;0;0;1
"Mattia Zaccagni";0;2;2;5;0;1;0;3;0;1;0;0;0;1;0;0
"Nicolo Rovella";0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0
"Patric Gil";12;1;2;0;3;6;1;5;11;4;1;1;0;0;1;0
"Pedro Rodriguez";0;0;0;0;0;0;1;2;0;1;2;0;2;0;0;4
"Taty Castellanos";0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
