"";"Alessandro Florenzi";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Malick Thiaw";"Mike Maignan";"Noah Okafor";"Olivier Giroud";"Rade Krunic";"Rafael Leao";"Ruben Loftus-Cheek";"Theo Hernandez";"Tijjani Reijnders";"Yunus Musah"
"Alessandro Florenzi";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Christian Pulisic";0;0;8;0;2;0;0;1;0;1;5;0;4;0
"Davide Calabria";0;8;0;2;2;0;0;2;0;0;5;0;1;1
"Fikayo Tomori";0;1;2;0;1;2;0;1;0;0;1;0;8;2
"Malick Thiaw";0;0;0;4;0;3;0;1;0;1;0;5;1;0
"Mike Maignan";0;0;2;3;2;0;0;0;0;0;0;2;2;2
"Noah Okafor";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Olivier Giroud";0;1;0;1;0;0;1;0;0;5;0;0;3;1
"Rade Krunic";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Rafael Leao";0;2;0;0;0;0;0;3;0;0;0;6;1;2
"Ruben Loftus-Cheek";0;6;3;0;1;0;1;1;0;0;0;0;1;2
"Theo Hernandez";0;0;0;0;2;0;0;3;0;8;0;0;1;2
"Tijjani Reijnders";0;5;3;3;1;1;0;1;0;3;2;1;0;2
"Yunus Musah";0;0;2;1;2;0;0;1;0;2;0;3;2;0
