"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"Guelor Kanga";"In-beom Hwang";"Jean-Philippe Krasso";"Jovan Mijatovic";"Kosta Nedeljkovic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;1;8;10;2;0;2;6;0;6;2;3;2;2;5
"Aleksandar Katai";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"Cherif Ndiaye";1;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0
"Guelor Kanga";3;0;1;0;10;2;0;3;6;1;3;1;5;0;7;5
"In-beom Hwang";5;0;2;9;0;1;2;7;2;0;8;1;0;1;2;2
"Jean-Philippe Krasso";0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0
"Jovan Mijatovic";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"Kosta Nedeljkovic";0;1;2;3;5;0;0;0;0;4;4;0;5;0;0;0
"Milan Rodic";3;0;1;4;2;1;0;0;0;0;1;1;2;0;0;8
"Mirko Ivanic";0;0;0;0;2;2;0;2;2;0;1;0;0;0;1;1
"Nasser Djiga";9;0;0;8;6;0;0;4;2;1;0;7;0;2;5;2
"Omri Glazer";10;0;0;3;0;0;0;0;0;0;4;0;1;1;0;0
"Osman Bukari";1;0;0;5;2;0;0;4;1;2;2;0;0;1;3;2
"Peter Olayinka";1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"Srdjan Mijailovic";2;0;0;4;2;2;0;0;0;1;4;3;4;0;0;0
"Vladimir Lucic";4;0;2;5;2;1;0;0;5;1;0;0;4;0;0;0
