"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"David Raum";"Emil Forsberg";"Fabio Carvalho";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Xaver Schlager";"Xavi Simons"
"Amadou Haidara";0;4;1;3;0;3;6;0;0;0;3;0;0;0;2;7
"Benjamin Henrichs";5;0;1;2;0;0;3;0;0;0;1;0;5;2;3;5
"Benjamin Sesko";0;2;0;1;0;4;2;0;0;0;2;0;0;0;0;1
"Castello Lukeba";8;1;0;0;1;12;2;0;16;0;0;0;2;0;2;1
"Christoph Baumgartner";0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
"David Raum";3;0;6;8;0;0;4;1;3;0;6;0;1;0;8;9
"Emil Forsberg";1;2;2;0;0;6;0;0;0;0;2;0;0;0;1;4
"Fabio Carvalho";0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
"Janis Blaswich";1;0;1;15;0;3;0;0;0;0;0;1;13;0;1;2
"Kevin Kampl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lois Openda";1;4;1;0;0;2;1;1;0;0;0;0;1;0;0;3
"Lukas Klostermann";0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0
"Mohamed Simakan";0;3;0;3;0;2;0;0;14;0;1;1;0;0;2;4
"Nicolas Seiwald";0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
"Xaver Schlager";3;3;1;2;0;6;2;0;2;0;5;0;3;0;0;3
"Xavi Simons";4;5;3;4;0;8;2;0;1;0;5;1;1;0;4;0
