"";"Alan Varela";"Andre Franco";"Danny Namaso";"David Carmo";"Diogo Costa";"Evanilson";"Fran Navarro";"Francisco Conceicao";"Joao Mario";"Jorge Sanchez";"Mehdi Taremi";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Zaidu Sanusi"
"Alan Varela";0;5;0;17;1;6;0;5;15;5;3;25;7;5;3
"Andre Franco";3;0;0;2;0;1;0;1;3;0;4;3;0;1;4
"Danny Namaso";0;0;0;0;0;0;0;1;0;0;0;1;2;0;0
"David Carmo";17;3;0;0;10;0;0;0;0;0;2;19;3;4;13
"Diogo Costa";2;0;0;11;0;0;0;0;0;0;0;3;1;3;3
"Evanilson";0;2;0;2;0;0;0;0;5;0;1;2;4;4;1
"Fran Navarro";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Francisco Conceicao";7;0;1;0;0;0;0;0;2;1;0;1;0;1;0
"Joao Mario";13;4;0;1;1;4;0;6;0;0;0;15;1;3;0
"Jorge Sanchez";3;0;3;0;0;0;0;4;0;0;0;3;1;1;0
"Mehdi Taremi";7;2;0;0;0;1;0;0;0;0;0;1;5;2;1
"Pepe_14926";26;6;1;9;8;4;0;0;21;4;0;0;3;8;0
"Pepe_66499";2;0;1;4;0;5;1;0;4;0;3;3;0;4;5
"Stephen Eustaquio";9;2;0;6;1;5;0;1;2;2;3;9;6;0;8
"Zaidu Sanusi";4;3;0;15;1;1;0;0;0;0;5;3;5;14;0
