"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Christopher Trimmel";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Jerome Roussillon";"Josip Juranovic";"Leonardo Bonucci";"Lucas Tousart";"Paul Jaeckel";"Rani Khedira";"Robin Gosens";"Sheraldo Becker"
"Aissa Laidouni";0;0;0;1;3;5;0;0;7;0;2;0;0;1;0;3
"Alex Kral";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
"Brenden Aaronson";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Christopher Trimmel";0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0
"David Fofana";1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4
"Diogo Leite";5;0;0;0;1;0;7;4;3;1;3;1;1;3;0;2
"Frederik Ronnow";0;0;0;0;0;5;0;0;1;1;1;1;1;0;1;1
"Janik Haberer";0;0;0;0;0;0;1;0;0;1;0;0;4;1;0;1
"Jerome Roussillon";5;0;0;0;0;4;0;1;0;1;1;0;0;1;0;2
"Josip Juranovic";2;0;0;0;0;3;1;2;0;0;0;0;2;0;0;1
"Leonardo Bonucci";1;0;0;1;2;4;1;0;0;0;0;0;1;1;0;0
"Lucas Tousart";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Paul Jaeckel";1;0;1;0;0;4;3;1;1;0;4;0;0;0;0;1
"Rani Khedira";4;0;0;0;0;2;0;0;3;0;2;0;3;0;0;3
"Robin Gosens";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"Sheraldo Becker";1;0;1;0;2;3;0;1;0;1;0;0;1;0;0;0
