"";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Arthur Cabral";"Casper Tengstedt";"Chiquinho";"David Jurasek";"Florentino Luis";"Fredrik Aursnes";"Goncalo Guedes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Petar Musa";"Rafa Silva"
"Anatoliy Trubin";0;0;6;0;0;0;0;0;0;0;1;3;1;6;0;0
"Angel Di Maria";0;0;2;2;0;0;1;0;1;0;1;2;0;2;1;3
"Antonio Silva";7;4;0;0;0;0;0;0;5;0;3;7;1;6;0;0
"Arthur Cabral";0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;1
"Casper Tengstedt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Chiquinho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"David Jurasek";0;0;1;4;1;0;0;0;0;2;2;2;2;1;0;4
"Florentino Luis";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
"Fredrik Aursnes";0;5;7;0;1;0;0;1;0;0;2;2;3;2;0;1
"Goncalo Guedes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Joao Mario";0;6;1;1;0;0;4;2;0;0;0;2;3;5;0;6
"Joao Neves";2;3;7;1;1;0;0;0;3;0;4;0;1;3;0;1
"Morato";3;1;0;0;0;0;3;0;4;0;3;2;0;4;0;3
"Nicolas Otamendi";3;2;6;1;0;0;4;0;3;1;1;1;10;0;1;3
"Petar Musa";0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
"Rafa Silva";1;2;0;1;0;0;4;1;1;0;4;2;1;0;0;0
