"";"Alphonso Davies";"Dayot Upamecano";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Noussair Mazraoui";"Serge Gnabry";"Thomas Muller"
"Alphonso Davies";0;0;5;2;15;17;1;0;11;4;2;4;0;0;0
"Dayot Upamecano";1;0;1;1;6;1;5;0;2;0;7;0;10;0;1
"Harry Kane";2;0;0;2;1;1;1;1;3;2;1;0;0;0;3
"Jamal Musiala";2;1;1;0;2;0;5;0;0;3;0;0;1;0;0
"Joshua Kimmich";15;5;7;5;0;7;9;0;4;5;4;2;4;0;7
"Kim Min-jae";14;4;0;1;6;0;0;1;7;1;16;0;0;0;1
"Kingsley Coman";0;3;1;1;13;0;0;1;4;2;0;0;7;0;5
"Konrad Laimer";0;0;1;0;0;0;0;0;0;0;0;0;1;2;2
"Leon Goretzka";6;3;2;2;9;7;3;0;0;6;1;0;5;0;0
"Leroy Sane";3;0;2;2;4;1;3;0;4;0;1;0;0;0;0
"Manuel Neuer";3;5;1;0;4;7;0;1;3;0;0;0;3;0;0
"Mathys Tel";5;0;1;0;1;0;0;0;1;0;0;0;0;0;0
"Noussair Mazraoui";0;6;2;1;7;1;13;0;4;1;2;0;0;1;2
"Serge Gnabry";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
"Thomas Muller";1;0;2;0;2;1;4;1;0;1;1;2;1;0;0
