"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Cedric Bakambu";"Davinson Sanchez";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Kerem Demirbay";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;7;0;0;5;10;0;1;0;0;1;0;0;2;1;0;1
"Angelino";3;0;0;0;2;3;1;1;4;0;2;0;0;0;0;0;8
"Baris Yilmaz";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Cedric Bakambu";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"Davinson Sanchez";3;1;0;0;0;5;2;4;1;0;5;1;1;5;1;0;1
"Fernando Muslera";10;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0
"Hakim Ziyech";0;0;0;0;0;0;0;1;3;0;3;0;1;4;0;0;0
"Kaan Ayhan";3;1;0;0;3;2;4;0;0;0;2;0;0;5;0;0;0
"Kerem Akturkoglu";0;2;0;0;0;0;3;1;0;0;2;0;2;1;0;0;4
"Kerem Demirbay";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lucas Torreira";5;2;2;0;7;0;1;5;4;0;0;1;2;0;0;1;0
"Mateus Tete";0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;1;0
"Mauro Icardi";0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0
"Sacha Boey";2;0;0;1;5;4;9;8;2;0;1;0;2;0;0;0;1
"Sergio Oliveira";2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Victor Nelsson";0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0
"Wilfried Zaha";0;7;0;0;0;0;1;1;0;0;4;0;0;0;1;0;0
