"";"Adria Pedrosa";"Boubakary Soumare";"Djibril Sow";"Erik Lamela";"Fernando";"Ivan Rakitic";"Joan Jordan";"Juanlu Sanchez ";"Kike Salas";"Loic Bade";"Lucas Ocampos";"Mariano Diaz";"Marko Dmitrovic";"Nemanja Gudelj";"Tanguy Nianzou";"Youssef En-Nesyri"
"Adria Pedrosa";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Boubakary Soumare";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Djibril Sow";0;0;0;1;4;0;0;0;0;0;0;0;0;2;0;0
"Erik Lamela";2;0;0;0;0;0;0;6;2;0;0;0;0;1;0;0
"Fernando";0;0;3;1;0;1;1;2;2;4;0;0;3;10;1;0
"Ivan Rakitic";0;0;0;0;1;0;0;0;0;4;0;1;1;4;1;0
"Joan Jordan";0;0;0;1;5;0;0;1;0;6;0;0;1;2;0;0
"Juanlu Sanchez ";1;0;2;2;1;2;2;0;0;6;2;0;0;0;0;0
"Kike Salas";2;0;0;1;1;0;0;0;0;3;0;0;5;6;0;0
"Loic Bade";0;0;1;0;8;0;3;4;1;0;1;0;4;11;0;0
"Lucas Ocampos";0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0
"Mariano Diaz";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
"Marko Dmitrovic";0;0;1;0;0;2;0;1;0;1;0;0;0;5;0;0
"Nemanja Gudelj";0;0;0;3;5;2;4;0;11;8;0;0;7;0;0;0
"Tanguy Nianzou";0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0
"Youssef En-Nesyri";0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0
