"";"Abel Ruiz";"Al Musrati";"Alvaro Djalo";"Andre Horta";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Sikou Niakate";"Simon Banza";"Victor Gomez";"Vitor Carvalho"
"Abel Ruiz";0;4;0;1;1;0;1;2;0;0;0;0;0;0;0;1
"Al Musrati";0;0;0;2;2;4;10;2;1;0;0;0;5;0;0;3
"Alvaro Djalo";0;2;0;0;2;3;3;2;0;0;1;0;0;0;0;1
"Andre Horta";0;4;0;0;0;5;3;0;0;0;0;0;0;1;0;1
"Bruma";1;3;5;0;0;6;4;0;0;0;1;4;1;0;0;3
"Cristian Borja ";1;2;2;5;8;0;11;0;1;0;1;5;9;2;1;6
"Joao Moutinho";2;7;1;4;9;9;0;8;7;1;7;6;4;3;6;7
"Joe Mendes";1;2;3;1;1;0;3;0;1;1;0;0;0;2;0;6
"Jose Fonte";0;1;0;0;0;0;5;1;0;2;3;0;7;0;9;7
"Matheus";0;0;0;1;0;1;1;0;5;0;0;0;6;0;0;2
"Ricardo Horta";0;0;1;0;1;2;5;0;1;0;0;4;3;0;4;3
"Rodrigo Zalazar";0;0;2;0;5;8;4;0;0;0;3;0;3;0;1;4
"Sikou Niakate";2;1;0;1;2;10;5;0;5;4;1;8;0;0;0;3
"Simon Banza";0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0
"Victor Gomez";0;0;1;0;2;1;7;0;3;1;6;0;1;0;0;7
"Vitor Carvalho";2;6;1;0;4;2;15;5;3;2;5;5;5;0;5;0
