"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Irakli Azarovi";"Kevin Kelsy ";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yaroslav Rakitskyi"
"Artem Bondarenko";0;1;0;0;2;0;0;0;0;0;1;0;0;0
"Danylo Sikan";0;0;2;0;2;1;0;0;2;1;3;1;0;0
"Dmytro Kryskiv";0;1;0;0;1;0;2;0;0;1;2;1;2;0
"Dmytro Riznyk";0;0;2;0;0;0;2;0;4;0;1;2;2;0
"Georgiy Sudakov";3;2;3;0;0;1;1;0;7;1;10;4;3;0
"Giorgi Gocholeishvili";0;0;1;0;1;0;0;0;2;1;3;2;7;0
"Irakli Azarovi";0;1;1;1;5;1;0;0;9;5;1;5;0;0
"Kevin Kelsy ";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mykola Matvienko";0;1;0;6;7;0;6;0;0;2;3;5;7;0
"Newerton";0;0;0;0;3;0;2;0;0;0;1;0;3;0
"Oleksandr Zubkov";1;4;3;1;8;2;4;0;2;0;0;3;3;0
"Taras Stepanenko";1;0;1;0;8;2;6;0;3;1;0;0;6;0
"Valeriy Bondar";0;1;0;4;0;12;1;0;8;0;6;4;0;0
"Yaroslav Rakitskyi";0;0;0;0;0;0;0;0;0;0;0;0;0;0
