"";"Achraf Hakimi";"Bradley Barcola";"Danilo Pereira";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marco Asensio";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira"
"Achraf Hakimi";0;0;1;16;1;0;15;2;2;6;4;9;22;2;4
"Bradley Barcola";0;0;0;3;0;0;0;1;4;0;0;1;0;0;8
"Danilo Pereira";1;2;0;2;6;0;6;3;25;5;0;18;0;0;2
"Fabian Ruiz";13;2;2;0;0;0;7;4;21;10;1;14;8;2;7
"Gianluigi Donnarumma";3;0;8;1;0;0;0;0;2;0;0;9;0;0;0
"Goncalo Ramos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Kang-In Lee";8;0;4;6;0;0;0;11;12;7;0;5;9;2;0
"Kylian Mbappe";0;2;0;2;0;0;6;0;6;3;0;0;4;0;0
"Lucas Hernandez";0;14;20;22;2;0;7;7;0;21;0;2;0;1;3
"Manuel Ugarte";8;0;7;9;1;0;9;0;15;0;0;6;1;1;0
"Marco Asensio";3;0;0;5;0;0;0;0;1;0;0;1;1;0;0
"Milan Skriniar";33;0;19;5;5;0;5;0;2;2;2;0;5;0;3
"Ousmane Dembele";13;0;0;9;0;0;5;2;1;3;2;1;0;3;0
"Randal Kolo Muani";2;0;0;1;0;0;1;3;0;0;0;0;4;0;0
"Vitinha Ferreira";3;3;0;7;0;0;1;0;5;0;2;2;2;0;0
