"";"Chaka Traore";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Luka Jovic";"Malick Thiaw";"Mike Maignan";"Olivier Giroud";"Rade Krunic";"Ruben Loftus-Cheek";"Samuel Chukwueze";"Theo Hernandez";"Tijjani Reijnders";"Yacine Adli"
"Chaka Traore";0;0;0;0;1;0;0;1;0;0;0;0;3;0
"Christian Pulisic";0;0;4;4;0;1;0;3;2;4;0;11;5;8
"Davide Calabria";0;5;0;6;0;5;2;1;4;4;7;0;4;6
"Fikayo Tomori";0;6;5;0;0;6;2;1;7;3;1;9;10;7
"Luka Jovic";1;0;0;0;0;0;0;0;0;0;0;0;1;0
"Malick Thiaw";0;0;7;9;0;0;0;0;0;2;6;1;2;4
"Mike Maignan";0;1;2;7;0;4;0;0;1;0;0;1;1;2
"Olivier Giroud";1;1;0;0;1;0;0;0;0;0;1;1;2;2
"Rade Krunic";0;3;5;12;0;0;1;1;0;1;1;0;3;3
"Ruben Loftus-Cheek";2;6;2;1;0;1;0;2;2;0;5;6;3;3
"Samuel Chukwueze";0;3;6;1;0;0;1;0;0;1;0;0;4;4
"Theo Hernandez";2;15;1;4;1;1;2;1;0;3;1;0;10;11
"Tijjani Reijnders";1;4;7;3;0;4;1;1;6;12;6;10;0;9
"Yacine Adli";0;7;3;2;0;5;2;0;4;5;3;9;12;0
