"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Dries Mertens";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Kerem Demirbay";"Lucas Torreira";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Tanguy Ndombele";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;7;0;2;9;0;14;0;0;5;0;0;2;1;0;0
"Angelino";6;0;0;2;3;0;0;0;0;3;0;0;3;2;0;7
"Baris Yilmaz";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"Dries Mertens";0;2;0;0;0;3;1;0;0;3;0;0;0;1;0;0
"Fernando Muslera";13;2;0;0;0;0;13;0;0;3;0;1;2;0;1;0
"Hakim Ziyech";0;0;0;2;1;0;4;1;0;5;0;11;1;2;0;1
"Kaan Ayhan";17;0;0;2;8;7;0;1;0;3;0;8;0;0;2;0
"Kerem Akturkoglu";0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0
"Kerem Demirbay";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Lucas Torreira";5;2;0;2;1;5;8;2;0;0;1;6;3;5;1;4
"Mauro Icardi";0;0;0;0;0;2;0;0;0;4;0;1;0;0;0;0
"Sacha Boey";0;0;2;3;3;14;5;2;0;6;1;0;3;2;0;0
"Sergio Oliveira";3;3;1;0;1;1;0;1;0;0;1;1;0;0;0;3
"Tanguy Ndombele";0;4;0;1;1;4;3;0;0;1;0;0;0;0;0;1
"Victor Nelsson";0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
"Wilfried Zaha";1;1;0;3;1;0;0;2;0;2;2;0;1;0;0;0
