"";"Djibril Sow";"Dodi Lukebakio";"Fernando";"Ivan Rakitic";"Jesus Navas";"Joan Jordan";"Juanlu Sanchez ";"Lucas Ocampos";"Marcos Acuna";"Marko Dmitrovic";"Nemanja Gudelj";"Oliver Torres";"Rafa Mir";"Sergio Ramos";"Tanguy Nianzou";"Youssef En-Nesyri"
"Djibril Sow";0;4;1;3;2;0;0;1;0;0;3;0;0;2;0;0
"Dodi Lukebakio";1;0;1;3;0;0;0;3;3;0;0;0;0;0;0;1
"Fernando";2;1;0;3;2;2;2;4;5;1;2;0;0;6;0;0
"Ivan Rakitic";1;3;2;0;2;1;0;0;2;1;4;1;1;4;1;0
"Jesus Navas";0;1;2;2;0;0;0;6;0;1;4;0;0;1;0;2
"Joan Jordan";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Juanlu Sanchez ";1;0;2;0;0;1;0;1;0;1;1;1;1;0;0;0
"Lucas Ocampos";3;0;0;0;7;0;0;0;0;0;2;0;0;2;0;1
"Marcos Acuna";1;4;0;6;0;1;0;0;0;1;0;0;0;4;0;0
"Marko Dmitrovic";0;0;2;0;0;0;0;0;0;0;7;0;0;2;0;0
"Nemanja Gudelj";3;0;1;1;7;0;1;1;0;5;0;0;0;5;0;0
"Oliver Torres";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"Rafa Mir";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Sergio Ramos";1;1;3;5;1;0;0;0;4;5;3;0;0;0;1;0
"Tanguy Nianzou";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Youssef En-Nesyri";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
