"";"Andre Ramalho";"Guus Til";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Olivier Boscagli";"Patrick van Aanholt";"Ricardo Pepi";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;2;1;0;3;2;1;10;3;0;19;0;0;0;5;0
"Guus Til";1;0;0;0;2;2;1;2;0;0;0;0;0;0;0;1
"Hirving Lozano";0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0
"Ismael Saibari";0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;2
"Jerdy Schouten";2;1;1;1;0;6;4;7;1;2;10;0;0;5;1;1
"Joey Veerman";2;1;4;0;6;0;3;5;1;3;3;2;0;5;2;5
"Johan Bakayoko";2;2;0;1;4;2;0;6;0;0;1;0;0;0;1;0
"Jordan Teze";8;1;0;0;5;5;13;0;1;1;2;1;0;0;4;1
"Luuk de Jong";0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"Malik Tillman";0;0;0;2;6;2;0;0;0;0;0;0;0;1;0;1
"Olivier Boscagli";11;0;2;1;4;3;2;2;0;0;0;0;0;17;4;5
"Patrick van Aanholt";0;0;0;2;0;5;0;0;0;1;0;0;0;0;0;1
"Ricardo Pepi";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"Sergino Dest";0;0;3;3;2;9;1;1;2;1;4;0;0;0;1;7
"Walter Benitez";10;0;0;0;2;0;0;2;0;0;10;0;0;2;0;0
"Yorbe Vertessen";0;1;0;1;0;6;1;1;0;2;1;1;0;3;0;0
