"";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Nicolai Boilesen";"Orri Oskarsson";"Oscar Hojlund";"Peter Ankersen";"Rasmus Falk";"Roony Bardghji";"Viktor Claesson"
"Denis Vavro";0;4;0;11;8;2;0;0;10;0;0;0;6;3;0
"Diogo Goncalves";6;0;0;6;3;2;2;1;7;1;0;0;3;1;3
"Elias Achouri";0;1;0;2;0;0;0;0;0;2;0;0;0;0;0
"Elias Jelert";7;4;2;0;2;1;3;2;2;3;0;0;8;8;2
"Kamil Grabara";6;1;0;1;0;3;0;0;12;0;0;0;3;0;0
"Kevin Diks";1;0;2;2;4;0;1;6;5;0;0;1;6;2;1
"Lukas Lerager";0;3;2;1;0;1;0;1;1;1;0;0;1;2;2
"Mohamed Elyounoussi";0;4;0;0;0;4;1;0;0;0;0;0;2;1;2
"Nicolai Boilesen";5;3;1;1;4;4;2;1;0;0;0;0;11;2;1
"Orri Oskarsson";0;0;1;2;0;0;0;1;0;0;0;0;1;0;0
"Oscar Hojlund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Peter Ankersen";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Rasmus Falk";10;6;1;7;2;4;3;1;5;1;0;1;0;1;3
"Roony Bardghji";4;3;0;3;0;2;1;0;0;0;0;0;4;0;1
"Viktor Claesson";0;2;0;3;0;0;3;3;0;0;0;0;1;1;0
